x,greenLed,InfraredLed
1524836558168,9900,3374958
1524836558183,9914,3375111
1524836558184,9886,3375308
1524836558228,9948,3375448
1524836558229,9934,3375573
1524836558230,9972,3375734
1524836558231,9957,3375867
1524836558231,9985,3376072
1524836558258,10006,3376207
1524836558259,9992,3376439
1524836558273,10025,3376538
1524836558288,10007,3376679
1524836558289,10031,3376771
1524836558304,10041,3376782
1524836558305,10046,3376827
1524836558318,10075,3376855
1524836558333,10088,3376868
1524836558334,10119,3376887
1524836558348,10096,3376903
1524836558378,10102,3376972
1524836558379,10116,3376938
1524836558380,10131,3376936
1524836558393,10130,3376934
1524836558395,10131,3376952
1524836558423,10114,3376893
1524836558425,10156,3376948
1524836558426,10171,3376980
1524836558438,10179,3377014
1524836558453,10175,3377046
1524836558454,10167,3377070
1524836558468,10185,3377095
1524836558483,10172,3377128
1524836558484,10180,3377156
1524836558498,10196,3377245
1524836558513,10228,3377320
1524836558514,10224,3377362
1524836558528,10240,3377415
1524836558543,10240,3377447
1524836558544,10220,3377407
1524836558573,10283,3377437
1524836558574,10293,3377387
1524836558575,10303,3377394
1524836558588,10307,3377455
1524836558603,10267,3377481
1524836558604,10289,3377526
1524836558619,10323,3377517
1524836558633,10305,3377490
1524836558634,10299,3377461
1524836558663,10316,3377471
1524836558672,10281,3377433
1524836558674,10329,3377485
1524836558678,10314,3377484
1524836558709,10332,3377470
1524836558710,10324,3377474
1524836558723,10382,3377465
1524836558724,10347,3377471
1524836558725,10380,3377424
1524836558738,10369,3377449
1524836558753,10362,3377462
1524836558754,10348,3377415
1524836558769,10360,3377442
1524836558798,10379,3377430
1524836558800,10415,3377520
1524836558813,10392,3377518
1524836558820,10388,3377533
1524836558822,10388,3377544
1524836558828,10408,3377510
1524836558844,10405,3377541
1524836558847,10428,3377540
1524836558858,10438,3377520
1524836558873,10434,3377584
1524836558874,10437,3377613
1524836558888,10442,3377596
1524836558904,10433,3377604
1524836558906,10451,3377539
1524836558918,10477,3377500
1524836558933,10437,3377472
1524836558935,10441,3377437
1524836558948,10470,3377422
1524836558978,10496,3377377
1524836558980,10463,3377404
1524836558982,10469,3377397
1524836558984,10463,3377361
1524836558995,10473,3377336
1524836559008,10497,3377334
1524836559023,10486,3377315
1524836559024,10479,3377326
1524836559038,10513,3377358
1524836559053,10538,3377400
1524836559055,10517,3377462
1524836559068,10533,3377506
1524836559083,10524,3377558
1524836559084,10563,3377624
1524836559098,10580,3377625
1524836559128,10568,3377706
1524836559129,10600,3377683
1524836559130,10590,3377704
1524836559132,10603,3377665
1524836559143,10614,3377665
1524836559158,10627,3377709
1524836559173,10640,3377741
1524836559175,10623,3377733
1524836559188,10651,3377728
1524836559218,10671,3377779
1524836559219,10661,3377759
1524836559220,10671,3377752
1524836559222,10657,3377759
1524836559233,10675,3377802
1524836559248,10718,3377737
1524836559263,10718,3377781
1524836559264,10703,3377737
1524836559278,10703,3377777
